cidade	PIB	ANO
natal	23803672760.0	2018
macaiba	1516819960.0	2018
parnamirim	5197196340.0	2018
mossoro	6524082900.0	2018
ceara-mirim	849204800.0	2018
sao-goncalo-do-amarante	1482829030.0	2018
caico	1184463000.0	2018
currais-novos	695677500.0	2018
santa-cruz	570224600.0	2018
acu	1095809820.0	2018
sao-jose-de-mipibu	773095150.0	2018
nova-cruz	476356370.0	2018
macau	759120340.0	2018
apodi	491941550.0	2018
canguaretama	524409850.0	2018
pau-dos-ferros	513598450.0	2018
joao-camara	1026019170.0	2018
touros	662054390.0	2018
extremoz	406664500.0	2018
areia-branca	675718040.0	2018
goianinha	378665320.0	2018
barauna	546283510.0	2018
nisia-floresta	410721200.0	2018
santo-antonio	224413860.0	2018
jucurutu	223688120.0	2018
parelhas	329728970.0	2018
sao-miguel	224988560.0	2018
sao-paulo-do-potengi	167066020.0	2018
monte-alegre	211510530.0	2018
caraubas	355928440.0	2018
poco-branco	108446330.0	2018
guamare	1391829510.0	2018
lagoa-nova	308028650.0	2018
pendencias	480471190.0	2018
tangara	138339000.0	2018
ipanguacu	135412920.0	2018
jardim-de-piranhas	134138610.0	2018
tibau-do-sul	336559590.0	2018
upanema	179736990.0	2018
pedro-velho	123554690.0	2018
ares	447728230.0	2018
alto-do-rodrigues	482564650.0	2018
sao-jose-do-campestre	92758110.0	2018
ielmo-marinho	105491960.0	2018
passa-e-fica	107189840.0	2018
alexandria	130588510.0	2018
patu	135923060.0	2018
governador-dix-sept-rosado	262924970.0	2018
maxaranguape	119102840.0	2018
brejinho	151669870.0	2018
taipu	112216880.0	2018
jardim-do-serido	159575300.0	2018
serra-do-mel	329054020.0	2018
vera-cruz	108250580.0	2018
montanhas	92113500.0	2018
lajes	120115450.0	2018
santana-do-matos	121077160.0	2018
campo-redondo	81970790.0	2018
cerro-cora	154129130.0	2018
angicos	137084990.0	2018
acari	115847330.0	2018
rio-do-fogo	166622250.0	2018
carnaubais	163712760.0	2018
sao-tome	99932920.0	2018
tenente-ananias	85852960.0	2018
afonso-bezerra	94908140.0	2018
grossos	153845690.0	2018
serra-caiada	78569430.0	2018
sao-miguel-do-gostoso	420153660.0	2018
umarizal	128301760.0	2018
januario-cicco	67185710.0	2018
espirito-santo	74984850.0	2018
pureza	119027060.0	2018
bom-jesus	82724870.0	2018
luis-gomes	71510160.0	2018
campo-grande	84199260.0	2018
florania	88046490.0	2018
baia-formosa	149062580.0	2018
jacana	62040120.0	2018
lagoa-salgada	70464760.0	2018
martins	78391130.0	2018
carnauba-dos-dantas	82744870.0	2018
marcelino-vieira	64840450.0	2018
riachuelo	67470690.0	2018
